"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"K10","Relay_OMRON5V","242.824mm","183.007mm","247.904mm","185.547mm","247.904mm","185.547mm","T","270.00","Relay"
"K9","Relay_OMRON5V","242.824mm","191.77mm","247.904mm","194.31mm","247.904mm","194.31mm","T","270.00","Relay"
"C104","0805","233.42mm","233.788mm","232.277mm","233.788mm","234.563mm","233.788mm","T","360.00","100pF"
"C103","0805","233.426mm","162.687mm","232.283mm","162.687mm","234.569mm","162.687mm","T","360.00","NULL"
"C102","0805","233.426mm","171.831mm","232.283mm","171.831mm","234.569mm","171.831mm","T","360.00","NULL"
"C101","0805","233.426mm","180.467mm","232.283mm","180.467mm","234.569mm","180.467mm","T","360.00","NULL"
"C100","0805","233.426mm","189.23mm","232.283mm","189.23mm","234.569mm","189.23mm","T","360.00","0.5pF"
"C92","0805","213.868mm","206.629mm","213.868mm","207.772mm","213.868mm","205.486mm","T","270.00","100nF"
"C91","0805","290.576mm","148.59mm","290.576mm","149.733mm","290.576mm","147.447mm","T","270.00","100nF"
"C30","0805","211.455mm","211.201mm","212.598mm","211.201mm","210.312mm","211.201mm","T","180.00","100nF"
"C31","0805","219.583mm","211.201mm","218.44mm","211.201mm","220.726mm","211.201mm","T","360.00","100nF"
"C32","6032_POL","260.6454mm","292.0306mm","260.604mm","291.973mm","260.6454mm","294.5106mm","T","90.00","10uF"
"C33","0805","257.175mm","293.624mm","257.175mm","292.481mm","257.175mm","294.767mm","T","90.00","100nF"
"C34","0805","298.577mm","201.803mm","297.434mm","201.803mm","299.72mm","201.803mm","T","360.00","100nF"
"C35","6032_POL","290.7606mm","201.7616mm","290.703mm","201.803mm","293.2406mm","201.7616mm","T","360.00","10uF"
"C36","0805","298.577mm","212.09mm","297.434mm","212.09mm","299.72mm","212.09mm","T","360.00","100nF"
"C37","6032_POL","291.1416mm","211.9216mm","291.084mm","211.963mm","293.6216mm","211.9216mm","T","360.00","10uF"
"C38","0805","211.074mm","252.095mm","212.217mm","252.095mm","209.931mm","252.095mm","T","180.00","100pF"
"C39","0805","211.074mm","225.806mm","212.217mm","225.806mm","209.931mm","225.806mm","T","180.00","100pF"
"C40","0805","211.201mm","193.675mm","212.344mm","193.675mm","210.058mm","193.675mm","T","180.00","100pF"
"C41","0805","211.201mm","171.958mm","210.058mm","171.958mm","212.344mm","171.958mm","T","360.00","100pF"
"C42","0805","220.98mm","226.314mm","222.123mm","226.314mm","219.837mm","226.314mm","T","180.00","100nF"
"C43","6032_POL","219.6406mm","229.7016mm","219.583mm","229.743mm","222.1206mm","229.7016mm","T","360.00","10uF"
"C44","0805","217.678mm","217.932mm","216.535mm","217.932mm","218.821mm","217.932mm","T","360.00","100nF"
"C45","6032_POL","219.2596mm","214.4616mm","219.202mm","214.503mm","221.7396mm","214.4616mm","T","360.00","10uF"
"C46","0805","220.472mm","194.818mm","221.615mm","194.818mm","219.329mm","194.818mm","T","180.00","100nF"
"C47","6032_POL","219.6406mm","198.2056mm","219.583mm","198.247mm","222.1206mm","198.2056mm","T","360.00","10uF"
"C48","0805","217.551mm","186.055mm","216.408mm","186.055mm","218.694mm","186.055mm","T","360.00","100nF"
"C49","6032_POL","219.2596mm","182.5846mm","219.202mm","182.626mm","221.7396mm","182.5846mm","T","360.00","10uF"
"C50","0805","237.236mm","293.497mm","237.236mm","292.354mm","237.236mm","294.64mm","T","90.00","100nF"
"C51","6032_POL","233.8926mm","292.1694mm","233.934mm","292.227mm","233.8926mm","289.6894mm","T","270.00","10uF"
"C57","0805","349.377mm","229.616mm","350.52mm","229.616mm","348.234mm","229.616mm","T","180.00","100nF"
"C58","0805","349.377mm","232.41mm","350.52mm","232.41mm","348.234mm","232.41mm","T","180.00","1uF"
"C59","6032_POL","347.7836mm","235.7976mm","347.726mm","235.839mm","350.2636mm","235.7976mm","T","360.00","10uF"
"C60","6032_POL","336.3374mm","292.0306mm","336.296mm","291.973mm","336.3374mm","294.5106mm","T","90.00","10uF"
"C61","cap_pol_8*10.2","344.4313mm","294.5118mm","344.424mm","294.513mm","340.9813mm","294.5118mm","T","360.00","47uF,50V"
"C62","0805","332.867mm","293.497mm","332.867mm","294.64mm","332.867mm","292.354mm","T","270.00","1uF"
"C63","0805","233.477mm","224.663mm","232.334mm","224.663mm","234.62mm","224.663mm","T","360.00","47pF"
"C64","0805","233.426mm","215.773mm","232.283mm","215.773mm","234.569mm","215.773mm","T","360.00","10pF"
"C65","0805","233.477mm","206.9129mm","232.334mm","206.9129mm","234.62mm","206.9129mm","T","360.00","5pF"
"C66","0805","233.426mm","198.12mm","232.283mm","198.12mm","234.569mm","198.12mm","T","360.00","1pF"
"C71","0603","287.052mm","207.118mm","285.496mm","207.01mm","287.852mm","207.118mm","T","90.00","100nF"
"C72","0603","287.052mm","204.705mm","285.496mm","204.597mm","287.852mm","204.705mm","T","90.00","100nF"
